vendor_id,category,category_name,lookup_key,lookup_value,metadata,is_active
1,billing_interval,電費寄送區間,台北市松山區饒河街181號3樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00491162301""}",t
1,billing_interval,電費寄送區間,台北市松山區饒河街181號4樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00491162403""}",t
1,billing_interval,電費寄送區間,台北市泰順街54巷21號之7四樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00817548402""}",t
1,billing_interval,電費寄送區間,台北市萬華區昆明街28巷8號2樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00145636209""}",t
1,billing_interval,電費寄送區間,台北市萬華區武成街5號2樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00706940209""}",t
1,billing_interval,電費寄送區間,台北市萬華區武成街80巷31號,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00704696106""}",t
1,billing_interval,電費寄送區間,台北市萬華區西園路二段283號一樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00694600108""}",t
1,billing_interval,電費寄送區間,台北市萬華區西園路二段283號三樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00694600302""}",t
1,billing_interval,電費寄送區間,台北市萬華區西園路二段283號二樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00694600211""}",t
1,billing_interval,電費寄送區間,台北市萬華區西昌街202號之1,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00663691205""}",t
1,billing_interval,電費寄送區間,台北市萬華區西昌街202號之2,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00663691307""}",t
1,billing_interval,電費寄送區間,台北市萬華區西昌街202號之3,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00663691409""}",t
1,billing_interval,電費寄送區間,台北市萬華區雙園街28.30號2樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00683355200""}",t
1,billing_interval,電費寄送區間,台北市萬華區雙園街55號四樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00682673407""}",t
1,billing_interval,電費寄送區間,新北市三重區五谷王北街20巷15弄13號,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""05323715105""}",t
1,billing_interval,電費寄送區間,新北市三重區仁政街86巷17號一樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""05254679104""}",t
1,billing_interval,電費寄送區間,新北市三重區仁政街86巷17號三樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""05254679308""}",t
1,billing_interval,電費寄送區間,新北市三重區仁政街86巷17號二樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""05254679206""}",t
1,billing_interval,電費寄送區間,新北市三重區仁政街86巷17號五樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""05254679503""}",t
1,billing_interval,電費寄送區間,新北市三重區仁政街86巷17號四樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""05254679400""}",t
1,billing_interval,電費寄送區間,新北市三重區仁政街86巷19號一樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""05254680107""}",t
1,billing_interval,電費寄送區間,新北市三重區仁政街86巷19號三樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""05254680301""}",t
1,billing_interval,電費寄送區間,新北市三重區仁政街86巷19號二樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""05254680209""}",t
1,billing_interval,電費寄送區間,新北市三重區仁政街86巷19號五樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""05254680506""}",t
1,billing_interval,電費寄送區間,新北市三重區仁政街86巷19號四樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""05254680403""}",t
1,billing_interval,電費寄送區間,新北市三重區信義西路25號二樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""05040755206""}",t
1,billing_interval,電費寄送區間,新北市三重區六張街126巷23弄33號4樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""05055780403""}",t
1,billing_interval,電費寄送區間,新北市三重區正義北路143號三樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""05010007309""}",t
1,billing_interval,電費寄送區間,新北市三重區正義北路143號二樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""05010007229""}",t
1,billing_interval,電費寄送區間,新北市三重區正義北路6號之1九樓之15,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""05050217283""}",t
1,billing_interval,電費寄送區間,新北市三重區正義北路6號之1九樓之16,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""05050217261""}",t
